OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-BIR,TN-NAS,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,TN,CLARKSVILL,   4, 1.93, .23, 250, .63,  13, .25,  -6,  -64,  -37,   56,  -45,35040 ,35020 ,37040 ,1.92,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-NAS,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,TN,MURFREESBO,   3, 1.96, .21, 207, .61,  25, .25,  -1,  -64,  -28,   21,  -71,35203 ,35020 ,37127 ,1.93,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-NAS,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,TN,NASHVILLE ,  10, 2.06, .20, 207, .61,  35, .28,   2,  -64,  -28,   38,  -54,35401 ,35020 ,37201 ,2.02,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-NAS,HOOD CONTAINER CORP  |   ,37841___,V.,AL,BIRMINGHAM,TN,NEW JOHNSO,   1, 1.84, .25, 231, .75,  79, .30,  -9, -500,  -89,   24, -565,35601 ,35203 ,37134 ,1.85,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-NAS,NISSAN NORTH AMERICA |   ,239409__,V.,AL,CULLMAN   ,TN,MOUNT JULI,   2, 2.51, .22, 199, .44,  34, .28, -28,    0,  -46,  129,   83,35007 ,35055 ,37121 ,2.49,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-NAS,S n S TRANSPORTATION |   ,1112003_,V.,AL,BESSEMER  ,TN,CLARKSVILL,   4, 1.42, .28, 250, .68,  22, .25, -18,  -44,  -59,  -57, -160,35203 ,35020 ,37040 ,1.46,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-BIR,TN-NAS,S n S TRANSPORTATION |   ,1112003_,V.,AL,BESSEMER  ,TN,MURFREESBO,   2, 1.65, .28, 207, .54,  13, .25, -14,  -44,    2,  -29,  -71,35203 ,35020 ,37127 ,1.69,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-BIR,TN-NAS,S n S TRANSPORTATION |   ,1112003_,V.,AL,BESSEMER  ,TN,NASHVILLE ,   1, 1.65, .28, 207, .54, 158, .40, -14,  -44,    2,  -29,  -71,30301 ,35020 ,37201 ,1.69,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-NAS,S n S TRANSPORTATION |   ,1112003_,V.,AL,BIRMINGHAM,TN,NASHVILLE ,   1, 1.81, .28, 191, .33,  13, .25, -13,    0,    2,   -9,   -7,35020 ,35203 ,37201 ,1.85,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-HUN,AL-ANN,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,ANNISTON  ,   1, 5.11, .00, 115, .29, 107, .35, -30,  -25,  -25,   58,    8,35094 ,35756 ,36201 ,4.87,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-ANN,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,BOAZ      ,   7, 5.27, .00,  66, .22,  95, .34, -54,  -25,  -38, -108, -171,35768 ,35756 ,35956 ,5.03,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-ANN,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,FORT PAYNE,   3, 4.11, .00,  86, .21,  61, .30, -43,  -25,  -34, -140, -199,35020 ,35756 ,35967 ,3.87,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
