OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-OPE,TN-NAS,b: TITAN TRANSFER LOG|   ,235774__,V.,AL,PHENIX CIT,TN,NASHVILLE ,   1, 1.47, .27, 331,1.86,  35, .25, -20,  -37, -243, -178, -458,36830 ,36867 ,37201 ,1.52,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,WI-EC.,VISUAL PAK CO        |   ,247798__,V.,AL,AUBURN    ,WI,EAU CLAIRE,   7, 1.46, .28,1089,2.04,  98, .33, -67, -109,  -26,  313,  178,30286 ,36830 ,54701 ,1.52,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,WI-MIL,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,WI,MENOMONEE ,   3, 2.18, .20, 826,1.45,  46, .28,  62,  -62,   74,  677,  689,36830 ,36830 ,53051 ,2.16,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,WI-MIL,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,WI,MILWAUKEE ,   1, 1.20, .19, 822,2.79, 158, .40,  69,  -62, -244, -190, -496,35055 ,36830 ,53201 ,1.17,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,WI-MIL,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,WI,RICHFIELD ,  33, 1.22, .20, 835,1.77,  41, .28,  64,  -62,   -2, -120, -184,36830 ,36830 ,53076 ,1.20,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,WI-MIL,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,WI,WAUWATOSA ,   1, 1.20, .20, 820,1.09,   0, .25,  62,  -62,  159, -132,  -35,36830 ,36830 ,53201 ,1.18,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-SEL,KY-BG.,b: C H ROBINSON      |   ,243602__,V.,AL,SELMA     ,KY,BOWLING GR,   1, 1.75, .27, 347,1.00, 131, .35, -21, -148,  -40,   52, -136,35055 ,36701 ,42101 ,1.80,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-SEL,TN-NAS,ALLEY CASSETTY TRUCKI|   ,1111667_,V.,AL,SELMA     ,TN,GALLATIN  ,   1, 1.20, .27, 307, .67,  25, .25, -18,    0,   39,  -52,  -13,36773 ,36701 ,37066 ,1.25,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-TUS,OH-TOL,b: ECHO GLOBAL LOGIST|   ,231729__,V.,AL,TUSCALOOSA,OH,LIMA      ,   2, 2.52, .28, 643,1.15, 147, .38, -45,  531,   15,  549, 1095,37087 ,35401 ,45801 ,2.58,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-TUS,OH-TOL,b: ECHO GLOBAL LOGIST|   ,231729__,V.,AL,WOODSTOCK ,OH,LIMA      ,   1, 2.63, .28, 618,2.23, 135, .35, -44,  594, -241,  493,  846,36830 ,35188 ,45801 ,2.69,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-TUS,OH-TOL,b: HUB GROUP INC     |   ,264651__,V.,AL,TUSCALOOSA,OH,LIMA      ,   1, 2.83, .28, 643,1.08, 103, .35, -45,  687,   31,  749, 1467,35055 ,35401 ,45801 ,2.89,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AR-FAY,KY-LOU,b: ECHO GLOBAL LOGIST|   ,231729__,V.,MO,GAINESVILL,KY,BROOKS    ,   1, 1.23, .27, 465, .97,  89, .30, -28,  -56,   -1,  125,   68,65801 ,65655 ,40109 ,1.28,C: MLW ...........   ;P: ANDREA.........   ;S: UNASSIGNED        ,MLWANDU
AR-FS.,FL-JAC,OWENS CORNING SALES  |   ,47775___,V.,AR,FORT SMITH,FL,JACKSONVIL,   1, 1.88, .18, 929,1.81,   0, .25,  24,  -62,    1,  193,  132,72901 ,72901 ,32099 ,1.84,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AR-FS.,FL-JAC,REDWOOD LOGISTICS STR|   ,225764__,V.,AR,FORT SMITH,FL,JACKSONVIL,   1, 1.73, .28, 944,1.81, 361, .60, -66, -500,    1,  156, -343,38301 ,72901 ,32099 ,1.79,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
